window,train_start,train_end,nonzero_news_days,bad_threshold,moderate_threshold,strong_threshold
1,2020-01-03,2020-07-13,27,0.75,1.0,1.0
2,2020-03-17,2020-09-22,61,0.75,1.0,1.0
3,2020-05-28,2020-12-02,70,1.0,1.0,1.0
4,2020-08-07,2021-02-16,95,0.5,1.0,1.0
5,2020-10-19,2021-04-28,109,0.47368421052631576,1.0,1.0
6,2020-12-30,2021-07-09,127,0.5,0.75,0.9220512820512821
7,2021-03-15,2021-09-20,132,0.4711168164313222,0.7064166666666668,0.7933793103448276
8,2021-05-25,2021-11-30,131,0.4001322751322751,0.6930769230769231,0.76993006993007
9,2021-08-05,2022-02-10,131,0.38047619047619047,0.6261363636363637,0.7198156682027651
10,2021-10-15,2022-04-25,130,0.40822072072072074,0.6190476190476191,0.710961038961039
11,2021-12-28,2022-07-07,130,0.38814866760168304,0.5771291866028708,0.6834758620689656
12,2022-03-10,2022-09-16,131,0.3158244680851064,0.5555555555555556,0.6488970588235294
13,2022-05-20,2022-11-28,131,0.31009615384615385,0.533448275862069,0.656578947368421
14,2022-08-03,2023-02-09,132,0.2661764705882353,0.5542777777777779,0.6775225806451612
15,2022-10-13,2023-04-24,132,0.31046195652173914,0.5982962962962963,0.7201655172413792
16,2022-12-23,2023-07-06,132,0.38647642679900746,0.6868444444444446,0.7896594427244582
17,2023-03-09,2023-09-15,132,0.4433333333333333,0.7186857142857144,0.8098701298701299
18,2023-05-19,2023-11-27,132,0.4216300940438872,0.6872626262626264,0.7827329192546584
19,2023-08-02,2024-02-08,132,0.4090909090909091,0.620311986863711,0.7144642857142857
20,2023-10-12,2024-04-22,132,0.41261755485893414,0.5982962962962963,0.7085714285714285
21,2023-12-22,2024-07-03,132,0.436820652173913,0.6666666666666666,0.75
22,2024-03-07,2024-09-13,132,0.4534090909090909,0.6801754385964914,0.7729292929292929
