window,train_start,train_end,nonzero_news_days,bad_threshold,moderate_threshold,strong_threshold
1,2020-01-03,2020-07-13,14,-0.5,0.5,1.0
2,2020-03-17,2020-09-22,31,-0.45,1.0,1.0
3,2020-05-28,2020-12-02,36,-0.3333333333333333,1.0,1.0
4,2020-08-07,2021-02-16,58,-0.31666666666666665,0.5,1.0
5,2020-10-19,2021-04-28,81,-0.125,0.25,0.46000000000000013
6,2020-12-30,2021-07-09,115,0.0423351158645276,0.23856624319419242,0.32969696969696954
7,2021-03-15,2021-09-20,123,0.04598308668076105,0.2272727272727273,0.28
8,2021-05-25,2021-11-30,125,0.0476190476190476,0.207487684729064,0.26844444444444443
9,2021-08-05,2022-02-10,125,0.024390243902439,0.17411764705882354,0.25
10,2021-10-15,2022-04-25,126,0.02840909090909085,0.1986111111111111,0.2692307692307692
11,2021-12-28,2022-07-07,124,-0.0529871977240398,0.1640090090090091,0.25156862745098035
12,2022-03-10,2022-09-16,125,-0.0833333333333333,0.13874840357598975,0.2311794871794872
13,2022-05-20,2022-11-28,120,-0.08749999999999998,0.12328389830508478,0.22707070707070706
14,2022-08-03,2023-02-09,118,-0.08304794520547942,0.11559663865546219,0.2122222222222222
15,2022-10-13,2023-04-24,117,-0.08,0.1538461538461539,0.2222222222222222
16,2022-12-23,2023-07-06,122,-0.019562715765247426,0.2,0.27860465116279076
17,2023-03-09,2023-09-15,123,0.0526315789473684,0.21658385093167706,0.28857142857142853
18,2023-05-19,2023-11-27,119,0.0434782608695652,0.2142857142857143,0.2857142857142857
19,2023-08-02,2024-02-08,121,-0.0149253731343283,0.1666666666666667,0.2321212121212121
20,2023-10-12,2024-04-22,122,-0.030381944444444427,0.1666666666666667,0.23848275862068966
21,2023-12-22,2024-07-03,121,0.0344827586206896,0.2201388888888889,0.2971428571428571
22,2024-03-07,2024-09-13,118,0.0588235294117647,0.23040106951871658,0.3333333333333333
23,2024-05-17,2024-11-22,108,0.06562499999999995,0.2615,0.3872222222222222
24,2024-07-31,2025-02-07,64,0.03691066997518605,0.25,0.4
